datetime,temperature_2m,dewpoint_2m,apparent_temperature,wind_speed_10m,cloud_cover_avg,surface_pressure,sealevel_pressure,rainfall,snowfall,relative_humidity_2m,visibility,uv_index,chance_of_rain,vapour_pressure_deficit,temperature_2m_1h,relative_humidity_2m_1h,chance_of_rain_1h,temperature_2m_2h,relative_humidity_2m_2h,chance_of_rain_2h,temperature_2m_3h,relative_humidity_2m_3h,chance_of_rain_3h,temperature_2m_4h,relative_humidity_2m_4h,chance_of_rain_4h,temperature_2m_5h,relative_humidity_2m_5h,chance_of_rain_5h,wind_degrees,wind_x,wind_y,hour_sin,hour_cos,weather_condition_Light drizzle,weather_condition_Light rain,weather_condition_Light rain shower,weather_condition_Moderate or heavy rain shower,weather_condition_Moderate rain,weather_condition_Overcast,weather_condition_Patchy light drizzle,weather_condition_Patchy light rain with thunder,weather_condition_Patchy rain possible,weather_condition_Thundery outbreaks possible,weather_condition_Torrential rain shower
2025-06-13 00:00:00,29.1,25.6,35.2,23.4,73,1004.0,1004.0,1.57,0,82,10.0,0.0,100,0.725,29.0,81.0,100.0,29.0,80.0,100.0,28.9,80.0,100.0,29.0,80.0,100.0,29.0,79.0,100.0,247.5,-0.3826834323650895,-0.9238795325112868,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2025-06-13 01:00:00,29.0,25.4,34.9,26.3,89,1003.0,1003.0,0.71,0,81,10.0,0.0,100,0.761,29.0,80.0,100.0,28.9,80.0,100.0,29.0,80.0,100.0,29.0,79.0,100.0,29.1,79.0,100.0,247.5,-0.3826834323650895,-0.9238795325112868,0.25881904510252074,0.9659258262890683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2025-06-13 02:00:00,29.0,25.2,34.6,23.0,74,1003.0,1003.0,0.44,0,80,10.0,0.0,100,0.801,28.9,80.0,100.0,29.0,80.0,100.0,29.0,79.0,100.0,29.1,79.0,100.0,29.3,78.0,100.0,247.5,-0.3826834323650895,-0.9238795325112868,0.49999999999999994,0.8660254037844387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2025-06-13 03:00:00,28.9,25.1,34.4,23.4,71,1003.0,1003.0,0.11,0,80,10.0,0.0,100,0.797,29.0,80.0,100.0,29.0,79.0,100.0,29.1,79.0,100.0,29.3,78.0,100.0,29.3,79.0,100.0,247.5,-0.3826834323650895,-0.9238795325112868,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2025-06-13 04:00:00,29.0,25.1,34.5,20.2,73,1003.0,1003.0,0.16,0,80,9.0,0.0,100,0.801,29.0,79.0,100.0,29.1,79.0,100.0,29.3,78.0,100.0,29.3,79.0,100.0,29.5,78.0,100.0,270.0,-1.8369701987210297e-16,-1.0,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2025-06-13 05:00:00,29.0,25.1,34.5,19.1,79,1003.0,1003.0,0.12,0,79,10.0,0.0,100,0.841,29.1,79.0,100.0,29.3,78.0,100.0,29.3,79.0,100.0,29.5,78.0,100.0,29.7,76.0,45.0,270.0,-1.8369701987210297e-16,-1.0,0.9659258262890683,0.25881904510252074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2025-06-13 06:00:00,29.1,25.1,34.7,18.4,72,1004.0,1004.0,0.1,0,79,10.0,0.0,100,0.846,29.3,78.0,100.0,29.3,79.0,100.0,29.5,78.0,100.0,29.7,76.0,45.0,30.4,73.0,45.0,270.0,-1.8369701987210297e-16,-1.0,1.0,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2025-06-13 07:00:00,29.3,25.2,35.1,19.8,100,1004.0,1004.0,0.16,0,78,10.0,6.0,100,0.897,29.3,79.0,100.0,29.5,78.0,100.0,29.7,76.0,45.0,30.4,73.0,45.0,30.2,74.0,45.0,270.0,-1.8369701987210297e-16,-1.0,0.9659258262890683,-0.25881904510252063,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-13 08:00:00,29.3,25.2,35.1,21.2,80,1005.0,1005.0,0.19,0,79,9.0,6.0,100,0.856,29.5,78.0,100.0,29.7,76.0,45.0,30.4,73.0,45.0,30.2,74.0,45.0,30.0,75.0,0.0,270.0,-1.8369701987210297e-16,-1.0,0.8660254037844387,-0.4999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2025-06-13 09:00:00,29.5,25.1,35.3,20.2,82,1005.0,1005.0,0.11,0,78,10.0,6.0,100,0.907,29.7,76.0,45.0,30.4,73.0,45.0,30.2,74.0,45.0,30.0,75.0,0.0,30.0,75.0,45.0,292.5,0.38268343236509,-0.9238795325112866,0.7071067811865476,-0.7071067811865475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
